RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31
102001,0,United States,country,,47.0,25.0,20.0,18.0,18.0,19.0,22.0,26.0,30.0,31.0,37.0,46.0,48.0,29.0,22.0,19.0,19.0,21.0,24.0,26.0,28.0,30.0,34.0,43.0,42.0,22.0,15.0,21.0,19.0,16.0,14.0,12.0,15.0,12.0,13.0,17.0,17.0,9.0,7.0,7.0,6.0,7.0,8.0,9.0,10.0,10.0,11.0,13.0,9.0,7.0,6.0,6.0,7.0,8.0,12.0,15.0,17.0,18.0,22.0,31.0,31.0,17.0,13.0
394913,1,"New York, NY",msa,NY,86.0,51.0,37.0,41.0,37.0,43.0,49.0,53.0,58.0,55.0,60.0,72.0,83.0,62.0,47.0,43.0,44.0,48.0,55.0,61.0,62.0,54.0,62.0,76.0,83.0,60.0,40.0,47.0,55.0,31.0,28.0,31.0,32.0,31.0,36.0,44.0,61.0,36.0,28.0,25.0,26.0,28.0,32.0,33.0,37.0,36.0,43.0,42.0,47.0,28.0,23.0,22.0,22.0,26.0,31.0,34.0,38.0,33.0,37.0,47.0,56.0,33.0,25.0
753899,2,"Los Angeles, CA",msa,CA,21.0,14.0,15.0,14.0,15.0,16.0,19.0,22.0,25.0,26.0,29.0,39.0,41.0,25.0,22.0,19.0,19.0,21.0,22.0,22.0,24.0,24.0,25.0,31.0,21.0,14.0,13.0,17.0,16.0,15.0,13.0,13.0,13.0,12.0,13.0,14.0,12.0,10.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,13.0,11.0,10.0,10.0,10.0,11.0,13.0,17.0,21.0,22.0,22.0,25.0,35.0,35.0,19.0,15.0
394463,3,"Chicago, IL",msa,IL,57.0,23.0,15.0,14.0,15.0,18.0,21.0,25.0,30.0,34.0,42.0,55.0,61.0,26.0,18.0,16.0,19.0,20.0,24.0,29.0,32.0,37.0,44.0,58.0,60.0,23.0,18.0,24.0,19.0,15.0,14.0,13.0,13.0,13.0,17.0,24.0,18.0,11.0,6.0,6.0,6.0,7.0,9.0,11.0,12.0,14.0,16.0,21.0,13.0,7.0,6.0,6.0,6.0,7.0,11.0,14.0,16.0,16.0,21.0,33.0,26.0,12.0,8.0
394514,4,"Dallas, TX",msa,TX,37.0,24.0,21.0,19.0,20.0,22.0,24.0,29.0,32.0,33.0,39.0,41.0,46.0,31.0,27.0,25.0,26.0,27.0,29.0,33.0,37.0,38.0,41.0,46.0,48.0,31.0,25.0,27.0,27.0,25.0,24.0,22.0,23.0,21.0,22.0,23.0,20.0,17.0,14.0,13.0,13.0,13.0,14.0,16.0,18.0,17.0,16.0,17.0,15.0,12.0,6.0,5.0,5.0,7.0,10.0,14.0,16.0,17.0,22.0,30.0,34.0,17.0,11.0
394692,5,"Houston, TX",msa,TX,40.0,25.0,17.0,16.0,16.0,19.0,21.0,27.0,33.0,32.0,35.0,40.0,42.0,28.0,22.0,21.0,21.0,21.0,26.0,31.0,35.0,35.0,37.0,43.0,46.0,26.0,20.0,25.0,23.0,21.0,17.0,16.0,17.0,14.0,14.0,16.0,14.0,10.0,7.0,7.0,6.0,7.0,8.0,10.0,12.0,11.0,11.0,12.0,10.0,7.0,7.0,7.0,7.0,8.0,12.0,17.0,21.0,21.0,27.0,34.0,39.0,25.0,17.0
395209,6,"Washington, DC",msa,VA,51.0,33.0,27.0,20.0,26.0,16.0,16.0,21.0,20.0,23.0,30.0,39.0,33.0,13.0,10.0,9.0,12.0,15.0,18.0,19.0,17.0,19.0,26.0,32.0,19.0,9.0,6.0,11.0,11.0,8.0,7.0,6.0,14.0,6.0,7.0,9.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,8.0,10.0,10.0,11.0,6.0,5.0,5.0,5.0,6.0,7.0,10.0,13.0,12.0,15.0,20.0,28.0,16.0,7.0,6.0
394974,7,"Philadelphia, PA",msa,PA,63.0,45.0,29.0,24.0,28.0,34.0,25.0,27.0,30.0,29.0,36.0,47.0,47.0,27.0,18.0,15.0,15.0,20.0,23.0,24.0,22.0,24.0,29.0,43.0,43.0,15.0,11.0,22.0,14.0,10.0,9.0,8.0,18.0,9.0,11.0,14.0,10.0,8.0,6.0,6.0,6.0,7.0,9.0,10.0,10.0,10.0,10.0,13.0,10.0,7.0,6.0,7.0,7.0,8.0,11.0,11.0,11.0,11.0,14.0,20.0,16.0,10.0,8.0
394856,8,"Miami, FL",msa,FL,51.0,41.0,37.0,39.0,38.0,38.0,36.0,38.0,41.0,41.0,43.0,51.0,53.0,47.0,42.0,47.0,45.0,44.0,41.0,43.0,45.0,41.0,44.0,51.0,54.0,40.0,36.0,40.0,48.0,40.0,30.0,28.0,27.0,26.0,25.0,32.0,41.0,27.0,20.0,16.0,13.0,14.0,14.0,15.0,16.0,15.0,15.0,16.0,15.0,11.0,10.0,10.0,11.0,12.0,16.0,19.0,23.0,26.0,27.0,33.0,37.0,30.0,28.0
394347,9,"Atlanta, GA",msa,GA,27.0,14.0,12.0,10.0,11.0,11.0,13.0,16.0,19.0,18.0,23.0,30.0,28.0,18.0,15.0,13.0,14.0,15.0,18.0,20.0,22.0,23.0,26.0,35.0,34.0,21.0,14.0,17.0,20.0,19.0,17.0,14.0,14.0,14.0,13.0,14.0,9.0,6.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,10.0,8.0,6.0,6.0,6.0,6.0,8.0,12.0,14.0,17.0,19.0,26.0,36.0,37.0,20.0,13.0
